Rank,RegionRank,Team,Record,WinPct,Rating,Region,Conference,Division,SoS,PDC
NA,NA,University of Illinois at Chicago,0-4,0,409.49,,,?,698.69,-289.2
283,NA,Stevens Tech,5-8,0.38461538461538464,409.26,Metro East,Metro NY DIII,D-III,407.45,1.81
284,NA,Bentley,2-10,0.16666666666666666,405.14,New England,Metro Boston DIII,D-III,778.35,-373.21
285,NA,Akron,4-10,0.2857142857142857,398.95,,,?,453.11,-54.15
286,NA,Notre Dame-B,7-5,0.5833333333333334,394.95,Great Lakes,Great Lakes Dev,Dev,432.73,-37.78
287,NA,Maryland-Baltimore County,1-5,0.16666666666666666,390.29,Atlantic Coast,Colonial DI,D-I,620.78,-230.5
288,NA,California-San Diego-B,9-6,0.6,389.37,Southwest,Southwest Dev,Dev,292.69,96.68
289,NA,Salisbury,5-14,0.2631578947368421,383.54,Atlantic Coast,Colonial DI,D-I,621.99,-238.45
NA,NA,Whitworth,1-2,0.3333333333333333,383.42,Northwest,Northwest DIII,D-III,707.14,-323.72
290,NA,Stockton University -Upper,6-9,0.4,378.52,,,?,428.69,-50.17
291,NA,Minnesota-C,7-5,0.5833333333333334,377.11,North Central,North Central Dev,Dev,465.6,-88.49
292,NA,Drake University,1-9,0.1,375.93,,,?,613.22,-237.28
293,NA,Fresno State,1-5,0.16666666666666666,373.85,,,?,503.23,-129.39
294,NA,Tulane-B,3-9,0.25,367.22,Southeast,,?,709.43,-342.21
295,NA,Haverford,6-10,0.375,367.14,Ohio Valley,East Penn DIII,D-III,548.38,-181.24
296,NA,Central Washington,1-5,0.16666666666666666,356.07,Northwest,Cascadia DI,D-I,640.26,-284.19
297,NA,Miami,3-8,0.2727272727272727,354.54,Southeast,Florida DI,D-I,431.03,-76.49
NA,NA,LeTourneau University,1-3,0.25,352.48,,,?,573.9,-221.42
NA,NA,Caltech,0-2,0,351.37,Southwest,Southwest DIII,D-III,941.17,-589.8
298,NA,Colgate,3-7,0.3,347.3,Metro East,Western NY DIII,D-III,591.83,-244.52
299,NA,North Florida,2-9,0.18181818181818182,328.78,Southeast,Florida DI,D-I,596.22,-267.44
NA,NA,Southern Methodist,2-2,0.5,324.23,South Central,North Texas DI,D-I,324.23,0
300,NA,Union,3-6,0.3333333333333333,323.19,,,?,439.08,-115.9
301,NA,Houston,5-12,0.29411764705882354,316.49,South Central,South Texas DI,D-I,541.25,-224.76
302,NA,Idaho,2-12,0.14285714285714285,313.39,Northwest,Big Sky DI,D-I,719.36,-405.96
